Name,State/Territory,Category,Type,Created,Updated
Methane Digester Loan Program,MN,Financial Incentive,Loan Program,2007-09-19,2024-10-11
Rochester Public Utilities - Residential Conserve and Save Rebate,MN,Financial Incentive,Rebate Program,2008-02-07,2023-04-06
Minnesota Power - Residential New Construction Rebate Program,MN,Financial Incentive,Rebate Program,2009-02-19,2023-04-06
Minnesota Energy Resources (Gas) - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2009-03-24,2024-05-16
Minnesota Energy Resources (Gas) - Home Energy Excellence Program for Builders or Homeowners,MN,Financial Incentive,Rebate Program,2009-03-24,2024-05-17
Great River Energy (28 Member Cooperatives) - Energy Wise Residential Efficiency Rebates,MN,Financial Incentive,Rebate Program,2009-04-09,2024-04-24
Hutchinson Utilities Commission - Residential Energy Efficiency Program,MN,Financial Incentive,Rebate Program,2009-04-16,2024-05-06
CenterPoint Energy (Gas) - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2009-05-04,2024-05-20
Farm Opportunities Loan Program,MN,Financial Incentive,Loan Program,2009-05-26,2022-10-13
Connexus Energy - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2009-06-01,2024-06-03
Anoka Municipal Utility - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2009-06-02,2024-05-28
East Central Energy - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2009-06-04,2024-05-28
Elk River Municipal Utilities - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2009-06-05,2024-05-31
Stearns Electric Association - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2009-06-10,2024-05-20
Stearns Electric Association - Energy Efficiency Loan Program,MN,Financial Incentive,Loan Program,2009-06-11,2024-03-11
Lake Region Electric Cooperative - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2009-08-05,2024-05-20
Lake Region Electric Cooperative - Agriculture and Commercial Energy Efficiency Grant Program,MN,Financial Incentive,Grant Program,2009-08-05,2024-05-31
CenterPoint Energy (Gas) - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2009-11-04,2023-04-06
Rochester Public Utilities - Solar Rebate Program,MN,Financial Incentive,Rebate Program,2010-09-08,2023-06-23
Austin Utilities - Solar Rebate Program,MN,Financial Incentive,Rebate Program,2010-09-10,2024-11-07
Owatanna Public Utilities - Solar Rebate Program,MN,Financial Incentive,Rebate Program,2010-09-10,2023-06-23
Fix-Up Loan,MN,Financial Incentive,Loan Program,2010-10-01,2022-07-20
Energy Efficiency Resource Standard,MN,Regulatory Policy,Energy Efficiency Resource Standard,2010-12-15,2024-10-31
Otter Tail Power Company - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2006-05-28,2024-03-11
Duluth Comfort Systems - Residential Energy Efficiency Loan Program,MN,Financial Incentive,Loan Program,2011-03-09,2024-08-30
MMPA - Commercial and Industrial Energy Efficiency Program,MN,Financial Incentive,Rebate Program,2011-04-08,2024-05-13
MMPA - Residential Energy Efficiency Program,MN,Financial Incentive,Rebate Program,2011-04-08,2024-05-12
Minnesota Energy Resources (Gas) - Low-Income New Construction Rebates,MN,Financial Incentive,Rebate Program,2011-04-21,2024-05-16
Minnesota Xcel Energy - Business Energy Efficiency Rebate Programs,MN,Financial Incentive,Rebate Program,2006-06-11,2024-08-28
Xcel Energy (Electric and Gas) - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2006-06-12,2023-04-11
Missouri River Energy Services (25 Member Cooperatives) - Business Energy Efficiency Rebate,MN,Financial Incentive,Rebate Program,2012-02-03,2023-04-06
Missouri River Energy Services (25 Member Cooperatives) - Residential Energy Efficiency Rebate,MN,Financial Incentive,Rebate Program,2012-02-03,2023-04-11
Minnesota Energy Resources (Gas) - Commercial and Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2009-03-24,2024-05-12
Xcel Energy - Solar*Rewards Program,MN,Financial Incentive,Performance-Based Incentive,2013-06-13,2023-12-15
Minnkota Power Cooperative (12 Utilities) - Value of Electricity Campaign Off-Peak Rebates,MN,Financial Incentive,Rebate Program,2014-08-22,2024-05-23
Minnkota Power Cooperative (11 Utilities) - PowerSavers Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2014-08-22,2024-07-18
Value of Solar Tariff,MN,Regulatory Policy,Value of Solar Tariff,2015-02-04,2024-11-04
Rural Minnesota Energy Board PACE Program,MN,Financial Incentive,PACE Financing,2015-05-01,2024-01-03
Minnesota PACE Program (MinnPACE),MN,Financial Incentive,PACE Financing,2015-05-04,2024-01-13
City of Minneapolis - Solar Access and Easement Laws,MN,Regulatory Policy,Solar/Wind Access Policy,2016-10-11,2023-10-20
City of Minneapolis - Wind Energy Conversion Systems,MN,Regulatory Policy,Solar/Wind Access Policy,2016-10-11,2023-10-20
Willmar Municipal Utilities - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2019-05-30,2024-06-13
Minnesota Energy Resources (Gas) - New Construction Rebates,MN,Financial Incentive,Rebate Program,2019-06-06,2024-05-17
Brainerd Public Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,2020-05-20,2023-04-06
Minnesota Power - Business Rebates & Savings,MN,Financial Incentive,Rebate Program,2020-06-22,2023-04-06
E-ZPass Minnesota Electric Vehicle Incentive,MN,Financial Incentive,Other Incentive,2021-06-09,2023-03-24
Connexus Energy - Electric Vehicle Incentive Program,MN,Financial Incentive,Rebate Program,2021-08-10,2023-06-02
Dakota Electric Association - Residential EV Charger Rebate,MN,Financial Incentive,Rebate Program,2021-08-12,2023-06-02
Lake Region Electric Cooperative - ChargeWise Program,MN,Financial Incentive,Rebate Program,2021-08-12,2023-06-02
Otter Tail Power - EVSE Rebate Program,MN,Financial Incentive,Rebate Program,2021-08-12,2023-07-06
Runestone Electric Association - EVSE Rebate Program,MN,Financial Incentive,Rebate Program,2021-08-12,2023-07-06
Community Solar Gardens,MN,Regulatory Policy,Community Solar Rules,2022-06-03,2022-06-03
Minnkota Power Cooperative - PowerSaves Residential Rebate Program,MN,Financial Incentive,Rebate Program,2022-06-18,2024-05-23
Solar for Schools Program,MN,Financial Incentive,Grant Program,2023-12-15,2023-12-15
Solar Grant Program: Public Buildings,MN,Financial Incentive,Grant Program,2023-12-15,2023-12-15
Missouri Solar Easements & Rights Laws,MO,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-09-22
City of Columbia - Renewable Portfolio Standard,MO,Regulatory Policy,Renewables Portfolio Standard,2004-11-04,2024-11-12
Energy Loan Program,MO,Financial Incentive,Loan Program,2000-01-01,2024-08-27
Wood Energy Production Credit,MO,Financial Incentive,Corporate Tax Credit,2000-01-01,2024-03-12
Interconnection Guidelines,MO,Regulatory Policy,Interconnection,2003-06-18,2024-05-31
Evergy - Residential Programmable Thermostat Program,MO,Financial Incentive,Rebate Program,2006-05-08,2023-07-21
Building Energy Code,MO,Regulatory Policy,Building Energy Code,2006-07-28,2023-05-23
Kirkwood Electric - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2006-08-10,2023-07-07
Ozark Border Electric Cooperative - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2006-09-15,2023-07-11
Intercounty Electric Cooperative - Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2006-09-15,2023-07-11
Co-Mo Electric Cooperative - Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2006-09-15,2023-07-11
Spire - Commercial and Industrial Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2006-11-20,2023-07-11
Columbia Water & Light - Home Performance with ENERGY STAR Loan,MO,Financial Incentive,Loan Program,2007-03-06,2023-05-23
Columbia Water & Light - Residential HVAC Rebates,MO,Financial Incentive,Rebate Program,2007-03-12,2023-07-11
Net Metering,MO,Regulatory Policy,Net Metering,2007-06-27,2024-03-07
Renewable Energy Standard,MO,Regulatory Policy,Renewables Portfolio Standard,2007-06-27,2024-11-18
Columbia Water & Light - Solar Rebates,MO,Financial Incentive,Rebate Program,2007-07-12,2024-08-15
City Utilities of Springfield - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2007-08-29,2023-07-26
City Utilities of Springfield - Commercial Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2007-08-29,2023-07-21
Empire District Electric - Residential Energy Efficiency Rebate,MO,Financial Incentive,Rebate Program,2008-04-11,2023-03-28
Empire District Electric - Commercial and Industrial Efficiency Rebates,MO,Financial Incentive,Rebate Program,2008-04-14,2023-03-28
Evergy - Residential Rebate Programs,MO,Financial Incentive,Rebate Program,2008-04-30,2023-07-21
Evergy - Energy Savings Kit,MO,Financial Incentive,Rebate Program,2008-05-01,2023-07-21
Platte-Clay Electric Cooperative - Residential and Commercial Energy Efficiency Rebates,MO,Financial Incentive,Rebate Program,2008-06-09,2023-07-07
Columbia Water & Light - Residential Energy Efficiency Incentives (Including Home Performance with Energy Star),MO,Financial Incentive,Rebate Program,2008-06-23,2023-05-23
Energy Standards for Public Buildings,MO,Regulatory Policy,Energy Standards for Public Buildings,2008-07-23,2024-07-08
Sales Tax Holiday for Energy-Efficient Appliances,MO,Financial Incentive,Sales Tax Incentive,2008-07-29,2023-12-05
Spire Energy - Residential High Efficiency Heating Rebate Program,MO,Financial Incentive,Rebate Program,2008-10-28,2023-06-19
White River Valley Electric Cooperative - Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2009-05-29,2023-07-11
Cuivre River Electric - Energy Efficiency Rebate Programs,MO,Financial Incentive,Rebate Program,2009-08-05,2023-07-11
Southwest Electric Cooperative - Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2009-08-06,2023-07-11
Spire - Residential Rebates,MO,Financial Incentive,Rebate Program,2010-01-12,2023-06-19
Independence Power and Light - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2010-01-27,2024-10-17
Independence Power and Light - New Homes Rebate Program,MO,Financial Incentive,Rebate Program,2010-01-27,2023-07-07
Independence Power and Light - Commercial Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2010-01-27,2024-11-01
Citizens Electric Corporation - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2010-02-17,2023-07-11
Columbia Water & Light - HVAC and Lighting Efficiency Rebates,MO,Financial Incentive,Rebate Program,2010-06-18,2023-07-21
City of Columbia Water & Light - Commercial Energy Efficiency Loans,MO,Financial Incentive,Loan Program,2010-07-07,2023-06-19
Local Option - Clean Energy Development Boards,MO,Financial Incentive,PACE Financing,2010-07-12,2024-01-02
Missouri Rural Electric Cooperative - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2010-12-08,2023-07-11
Energy Efficiency Goals,MO,Regulatory Policy,Energy Efficiency Resource Standard,2012-06-25,2024-10-16
Liberty Utilities - Residential and Small Business Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2013-01-23,2023-07-07
Missouri Clean Energy District,MO,Financial Incentive,PACE Financing,2014-08-27,2023-12-20
Set the PACE St. Louis,MO,Financial Incentive,PACE Financing,2014-08-27,2024-01-08
Columbia Water & Light - Solar Energy Loans,MO,Financial Incentive,Loan Program,2014-09-19,2023-07-21
City of Kansas City - Green Building Policy for Municipal Buildings,MO,Regulatory Policy,Energy Standards for Public Buildings,2014-11-03,2024-06-23
City of Kansas City - Solar/Wind Easements and Geothermal Access,MO,Regulatory Policy,Solar/Wind Access Policy,2014-11-04,2023-10-22
Liberty Utilities - Solar PV Rebates,MO,Financial Incentive,Rebate Program,2015-05-18,2023-09-19
Ameren Missouri (Electric) - Residential Heating and Cooling Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2016-03-15,2024-11-07
Spire Energy - Commercial and Industrial Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,2016-05-03,2023-06-19
Show Me PACE,MO,Financial Incentive,PACE Financing,2016-05-05,2024-01-08
City of St. Louis - Green Building Standard,MO,Regulatory Policy,Energy Standards for Public Buildings,2016-10-11,2024-06-18
Wabash Valley Power Association (23 Member Cooperatives) - Commercial and Industrial Energy Efficiency Program,MO,Financial Incentive,Rebate Program,2018-05-20,2023-08-04
Empire District Electric (Gas) - Commercial and Industrial Gas Efficiency Program,MO,Financial Incentive,Rebate Program,2018-07-24,2023-03-28
Evergy Solar Rebate Program,MO,Financial Incentive,Rebate Program,2021-03-12,2023-09-19
Volkswagen Trust Electric Vehicle Charging Infrastructure Program,MO,Financial Incentive,Grant Program,2021-06-09,2021-12-31
Volkswagen Trust Funds - Transit and Shuttle Buses,MO,Financial Incentive,Grant Program,2021-06-09,2021-12-31
Ameren Missouri - Charge Ahead Electric Vehicles Program,MO,Financial Incentive,Rebate Program,2021-08-20,2023-07-03
Missouri - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,MO,Financial Incentive,Grant Program,2024-06-13,2024-06-13
N. Mariana Islands - Renewables Portfolio Standard,MP,Regulatory Policy,Renewables Portfolio Standard,2011-01-05,2024-06-27
N. Mariana Islands - Building Energy Code,MP,Regulatory Policy,Building Energy Code,2011-04-05,2020-06-16
N. Mariana Islands - Net Metering,MP,Regulatory Policy,Net Metering,2014-09-26,2024-01-04
MDA - Energy Efficiency Revolving Loan Program,MS,Financial Incentive,Loan Program,2000-01-01,2024-05-22
Building Energy Code,MS,Regulatory Policy,Building Energy Code,2006-07-21,2023-05-23
Southern Pine Electric Power Association - Residential Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,2006-09-15,2024-08-14
Pearl River Valley Electric Power Association - Residential Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,2006-09-19,2023-04-05
Coast Electric Power Association - Comfort Advantage Home Program,MS,Financial Incentive,Rebate Program,2006-09-19,2023-07-11
Coast Electric Power Association - Commercial Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,2006-09-19,2023-04-05
Singing River Electric Power Association - Comfort Advantage Home Program,MS,Financial Incentive,Rebate Program,2008-06-03,2023-07-11
Mississippi Clean Energy Initiative,MS,Financial Incentive,Industry Recruitment/Support,2010-07-07,2024-02-13
Mississippi Power - Residential & Commercial Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,2010-07-22,2023-05-24
Energy Efficiency Standards for State Facilities,MS,Regulatory Policy,Energy Standards for Public Buildings,2014-06-19,2024-06-12
TVA - Residential Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,2015-03-05,2023-10-16
Entergy Mississippi- Residential Energy Efficiency Program,MS,Financial Incentive,Rebate Program,2015-06-29,2023-06-16
Entergy Mississippi- Commercial Energy Efficiency Program,MS,Financial Incentive,Rebate Program,2015-06-29,2023-05-24
Net Metering,MS,Regulatory Policy,Net Metering,2015-12-04,2024-04-12
Interconnection Standards,MS,Regulatory Policy,Interconnection,2015-12-05,2024-01-14
Atmos Energy (Gas) Residential Appliance Rebate Program,MS,Financial Incentive,Rebate Program,2017-03-20,2023-07-11
Atmos Energy (Gas) Industrial and Commercial Rebate Program,MS,Financial Incentive,Rebate Program,2017-03-20,2023-07-11
TVA - Commercial Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,2020-06-02,2023-10-16
Entergy Mississippi - eTech Program,MS,Financial Incentive,Rebate Program,2021-08-14,2023-05-24
Mississippi Power Low-to-Moderate Income Residential Incentive Program,MS,Financial Incentive,Rebate Program,2023-09-03,2024-04-12
Entergy Mississippi Low-to-Moderate Income Residential Incentive Program,MS,Financial Incentive,Rebate Program,2023-09-03,2024-04-12
Entergy Mississippi - Residential Demand Response Battery Incentive Program,MS,Financial Incentive,Rebate Program,2024-04-12,2024-04-12
Mississippi Power - Battery Storage Incentive Program,MS,Financial Incentive,Rebate Program,2024-04-12,2024-04-12
Mississippi - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,MS,Financial Incentive,Grant Program,2024-06-12,2024-06-12
Mandatory Utility Green Power Option,MT,Regulatory Policy,Mandatory Utility Green Power Option,2003-07-17,2021-08-30
Renewable Energy Systems Exemption,MT,Financial Incentive,Property Tax Incentive,2000-01-01,2024-10-28
Montana Solar and Wind Easements,MT,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-12-18
Renewable Resource Standard,MT,Regulatory Policy,Renewables Portfolio Standard,2005-05-12,2023-11-17
Universal System Benefits Program,MT,Regulatory Policy,Public Benefits Fund,2000-01-01,2021-07-30
Corporate Property Tax Reduction for New/Expanded Generating Facilities,MT,Financial Incentive,Property Tax Incentive,2003-10-01,2024-10-28
Alternative Energy Revolving Loan Program,MT,Financial Incentive,Loan Program,2001-07-11,2023-05-09
Interconnection Standards,MT,Regulatory Policy,Interconnection,2003-07-01,2024-05-29
NorthWestern Energy - USB Renewable Energy Fund,MT,Financial Incentive,Rebate Program,2002-08-05,2024-09-10
Generation Facility Corporate Tax Exemptions,MT,Financial Incentive,Property Tax Incentive,2003-10-01,2024-10-28
Deduction For Energy-Conserving Investment,MT,Financial Incentive,Corporate Tax Deduction,2005-06-16,2023-03-20
NorthWestern Energy - Custom Business Efficiency Program,MT,Financial Incentive,Grant Program,2006-06-23,2023-07-21
NorthWestern Energy (Electric) - Commercial Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,2006-06-23,2023-07-26
Building Energy Code,MT,Regulatory Policy,Building Energy Code,2006-07-28,2023-05-23
Flathead Electric Cooperative - Residential Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,2006-09-15,2023-04-12
Flathead Electric Cooperative - New and Manufactured Home Incentive Program,MT,Financial Incentive,Rebate Program,2006-09-15,2023-04-12
Flathead Electric Cooperative - Commercial Incentive Programs,MT,Financial Incentive,Rebate Program,2006-09-15,2023-04-12
Yellowstone Valley Electric Cooperative - Residential/Commercial Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,2007-04-04,2023-07-21
Alternative Energy Investment Tax Credit,MT,Financial Incentive,Industry Recruitment/Support,2001-07-29,2021-07-18
Property Tax Abatement for Production and Manufacturing Facilities,MT,Financial Incentive,Industry Recruitment/Support,2007-06-01,2021-07-14
Energy Efficiency Standards for State Buildings,MT,Regulatory Policy,Energy Standards for Public Buildings,2009-04-27,2024-03-12
Montana-Dakota Utilities - Residential Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,2010-01-19,2023-06-19
Montana-Dakota Utilities - Commercial Energy Efficiency Incentive Program,MT,Financial Incentive,Rebate Program,2010-01-19,2023-06-19
NorthWestern Energy (Gas) - Commercial Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,2006-06-23,2023-07-26
Net Metering,MT,Regulatory Policy,Net Metering,2023-03-06,2023-03-06
Montana Commercial PACE Financing Program,MT,Financial Incentive,PACE Financing,2024-06-17,2024-06-18
Montana - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,MT,Financial Incentive,Grant Program,2024-06-18,2024-06-25
Yellowstone Valley Electric Cooperative - Solar Stock Watering System Rebate,MT,Financial Incentive,Rebate Program,2024-09-17,2024-09-17
Active Solar Heating and Cooling Systems Exemption,NC,Financial Incentive,Property Tax Incentive,2000-01-01,2024-10-25
Interconnection Standards,NC,Regulatory Policy,Interconnection,2005-04-19,2024-06-07
Town of Chapel Hill - Energy Conservation Requirements for Town Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,2000-01-01,2024-06-20
Town of Chapel Hill - Land-Use Management Ordinances,NC,Regulatory Policy,Solar/Wind Access Policy,2004-08-11,2023-10-30
Net Metering,NC,Regulatory Policy,Net Metering,2005-10-26,2024-06-05
Building Energy Code,NC,Regulatory Policy,Building Energy Code,2006-07-19,2024-01-31
City of New Bern Electric Department - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2006-08-21,2023-08-04
City of Statesville Electric Utility Department - Residential and Commercial Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2006-08-21,2023-08-04
Union Power Cooperative - Residential Energy Efficient Loan Program,NC,Financial Incentive,Loan Program,2006-09-05,2024-04-18
Piedmont EMC - Rate Discount for Energy Star Homes,NC,Financial Incentive,Utility Rate Discount,2006-09-05,2024-05-14
Piedmont EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2006-09-05,2023-04-27
Lumbee River EMC - Residential Energy Efficiency Loan Program,NC,Financial Incentive,Loan Program,2006-09-05,2024-05-06
Carteret-Craven Electric Cooperative - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2006-09-05,2024-04-08
Tideland EMC - Weatherization Loan Program,NC,Financial Incentive,Loan Program,2007-03-15,2024-05-13
North Carolina Solar Rights,NC,Regulatory Policy,Solar/Wind Access Policy,2007-07-31,2023-11-14
Clean Energy and Energy Efficiency Portfolio Standard,NC,Regulatory Policy,Renewables Portfolio Standard,2007-08-06,2023-12-06
Conservation of Energy and Water Use in State Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,2007-09-05,2024-06-20
Ashe County - Wind Energy System Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,2007-10-31,2023-08-15
Watauga County - Wind Energy System Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,2007-11-01,2023-08-11
City of Asheville - Efficiency Standards for City Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,2007-04-26,2024-06-10
Town of Kill Devil Hills - Wind Energy Systems Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,2008-02-04,2023-08-15
Property Tax Abatement for Solar Electric Systems,NC,Financial Incentive,Property Tax Incentive,2008-08-11,2024-06-26
Model Wind Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,2008-08-28,2023-08-11
Durham County - High-Performance Building Policy,NC,Regulatory Policy,Energy Standards for Public Buildings,2008-12-09,2024-06-20
Four-County EMC - Residential Energy Efficiency Loan Program,NC,Financial Incentive,Loan Program,2009-03-27,2024-05-06
Four-County EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2009-03-27,2024-05-23
South River EMC - Solar Water Heating Rebate Program,NC,Financial Incentive,Rebate Program,2009-04-20,2023-04-27
Tyrrell County - Wind Energy Facility Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,2009-05-07,2024-07-22
Hyde County - Wind Energy Facility Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,2009-05-07,2023-08-15
Duke Energy Carolinas - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2009-06-20,2024-05-02
Duke Energy - Non-Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2009-06-20,2024-10-08
Lumbee River EMC - Residential Energy Efficiency Program,NC,Financial Incentive,Rebate Program,2009-06-21,2024-04-29
Duke Energy Progress - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2009-07-14,2023-07-21
SystemVision Energy Guarantee Program,NC,Financial Incentive,Rebate Program,2009-07-15,2023-05-31
Haywood EMC - Residential Heat Pump and Weatherization Loan Program,NC,Financial Incentive,Loan Program,2009-08-10,2024-05-02
City of High Point Electric - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2009-08-20,2023-08-04
Dominion Energy (Gas) - Energy-Efficient Appliance Rebate Program,NC,Financial Incentive,Rebate Program,2009-10-02,2024-05-06
South River EMC - Energy Efficient New Homes Rebate Program,NC,Financial Incentive,Rebate Program,2009-12-07,2024-05-06
South River EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2009-12-17,2024-04-29
Carteret County - Wind Energy System Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,2010-01-11,2023-08-11
Pitt County - Wind Energy Systems Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,2010-04-08,2023-08-11
Piedmont Natural Gas - Residential Equipment Efficiency Program,NC,Financial Incentive,Rebate Program,2010-05-06,2023-08-04
Piedmont Natural Gas - Commercial Equipment Efficiency Program,NC,Financial Incentive,Rebate Program,2010-05-06,2023-08-04
Madison County - Wind Energy Systems Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,2010-09-09,2024-06-27
Piedmont EMC - Residential Solar and Energy Efficiency Loan Program,NC,Financial Incentive,Loan Program,2011-01-12,2024-05-13
Town of Carrboro - Worthwhile Investments Save Energy (WISE) Homes and Buildings Program,NC,Financial Incentive,Loan Program,2011-01-21,2020-08-12
City of Concord Electric Department - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2012-04-09,2023-08-04
Jones-Onslow EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2012-08-02,2023-08-04
Wind Energy Permitting Standards,NC,Regulatory Policy,Solar/Wind Permitting Standards,2013-06-18,2023-08-11
Template Solar Energy Development Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,2014-01-09,2023-08-11
TVA - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2015-03-05,2023-10-16
Blue Ridge EMC - Net Metering,NC,Regulatory Policy,Net Metering,2015-12-17,2024-06-21
EnergyUnited (Electric) - Residential Energy Efficiency Program,NC,Financial Incentive,Rebate Program,2019-06-11,2024-05-30
EnergyUnited Commercial Lighting Program,NC,Financial Incentive,Rebate Program,2019-06-11,2023-04-27
TVA - Commercial Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,2020-06-02,2023-10-16
Clean Fuel Advanced Technology (CFAT) Project,NC,Financial Incentive,Grant Program,2021-06-11,2021-12-31
Randolph EMC - Electric Vehicle Charging Station Rebate,NC,Financial Incentive,Rebate Program,2021-08-19,2023-07-06
Cape Hatteras Electric Cooperative - ChargePoint Electric Vehicle Charger Residential Rebate,NC,Financial Incentive,Rebate Program,2021-09-05,2023-07-03
Duke Energy - EV School Bus Program,NC,Financial Incentive,Rebate Program,2021-09-05,2024-05-10
Randolph EMC - ElecTel Energy Efficiency Loan Program,NC,Financial Incentive,Loan Program,2022-06-06,2023-08-04
North Carolina Community Solar Rules,NC,Regulatory Policy,Community Solar Rules,2022-06-24,2024-06-21
Energy United - Residential Heat Pump Rebate,NC,Financial Incentive,Rebate Program,2023-06-02,2023-06-02
Duke Energy - EV Charger Prep Credit Program,NC,Financial Incentive,Rebate Program,2023-09-07,2023-09-08
Duke Energy - PowerPair,NC,Financial Incentive,Rebate Program,2024-05-09,2024-05-09
Duke Energy - Improve & Save,NC,Financial Incentive,Loan Program,2024-05-10,2024-05-10
Offshore Wind Energy Goal,NC,Regulatory Policy,Offshore Wind Energy Target,2024-05-24,2024-05-28
North Carolina - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,NC,Financial Incentive,Grant Program,2024-06-21,2024-06-21
Local Option - Commercial Property Assessed Capital Expenditure (C-PACE),NC,Financial Incentive,PACE Financing,2024-07-12,2024-07-12
City of Charlotte - Green Building Policy for Municipal Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,2024-07-16,2024-07-16
North Dakota Solar/Wind Easements and Laws,ND,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-12-19
Renewable Energy Property Tax Exemption,ND,Financial Incentive,Property Tax Incentive,2000-01-01,2024-10-28
Net Metering,ND,Regulatory Policy,Net Metering,2000-01-01,2023-02-20
Building Energy Code,ND,Regulatory Policy,Building Energy Code,2006-08-02,2023-05-23
Northern Plains EC - Commercial Energy Efficiency Loan Program,ND,Financial Incentive,Loan Program,2007-03-15,2024-08-20
Renewable and Recycled Energy Objective,ND,Regulatory Policy,Renewables Portfolio Standard,2007-08-24,2023-11-21
Otter Tail Power Company - Energy Efficiency Rebate Program,ND,Financial Incentive,Rebate Program,2008-11-17,2024-04-26
